msa_title,msa,pop
"Marquette, MI Micro Area; Michigan",32100,66430
"Midland, MI Metro Area; Michigan",33220,83641
"Monroe, MI Metro Area; Michigan",33780,155001
"Mount Pleasant, MI Micro Area; Michigan",34380,64475
"Muskegon-Norton Shores, MI Metro Area; Michigan",34740,175378
"Niles, MI Metro Area; Michigan",35660,153411
"Owosso, MI Micro Area; Michigan",37020,68061
"Petoskey, MI Micro Area; Michigan",37950,34159
"Saginaw, MI Metro Area; Michigan",40980,189210
"Sault Ste. Marie, MI Micro Area; Michigan",42300,36448
"South Bend-Mishawaka, IN-MI Metro Area (part); Michigan",43780,51606
"Sturgis, MI Micro Area; Michigan",44780,60870
"Traverse City, MI Metro Area; Michigan",45900,154657
"Albert Lea, MN Micro Area; Minnesota",10660,30752
"Alexandria, MN Micro Area; Minnesota",10820,39354
"Austin, MN Micro Area; Minnesota",12380,40069
"Bemidji, MN Micro Area; Minnesota",13420,46421
"Brainerd, MN Micro Area; Minnesota",14660,97801
"Detroit Lakes, MN Micro Area; Minnesota",19810,35260
"Duluth, MN-WI Metro Area (part); Minnesota",20260,236513
"Fairmont, MN Micro Area; Minnesota",21860,19864
"Fargo, ND-MN Metro Area (part); Minnesota",22020,65628
"Faribault-Northfield, MN Micro Area; Minnesota",22060,67389
"Fergus Falls, MN Micro Area; Minnesota",22260,60281
"Grand Forks, ND-MN Metro Area (part); Minnesota",24220,30905
"Grand Rapids, MN Micro Area; Minnesota",24330,45141
"Hutchinson, MN Micro Area; Minnesota",26780,36771
"La Crosse-Onalaska, WI-MN Metro Area (part); Minnesota",29100,18768
"Mankato, MN Metro Area; Minnesota",31860,103736
"Marshall, MN Micro Area; Minnesota",32140,25498
"Minneapolis-St. Paul-Bloomington, MN-WI Metro Area (part); Minnesota",33460,3556181
"New Ulm, MN Micro Area; Minnesota",35580,25826
"Owatonna, MN Micro Area; Minnesota",36940,37413
"Red Wing, MN Micro Area; Minnesota",39860,47844
"Rochester, MN Metro Area; Minnesota",40340,227252
"St. Cloud, MN Metro Area; Minnesota",41060,200816
"Sioux Falls, SD-MN Metro Area (part); Minnesota",43620,9628
"Wahpeton, ND-MN Micro Area (part); Minnesota",47420,6413
"Willmar, MN Micro Area; Minnesota",48820,43757
"Winona, MN Micro Area; Minnesota",49100,49705
"Worthington, MN Micro Area; Minnesota",49380,22067
"Brookhaven, MS Micro Area; Mississippi",15020,34830
"Clarksdale, MS Micro Area; Mississippi",17260,20808
"Cleveland, MS Micro Area; Mississippi",17380,30163
"Columbus, MS Micro Area; Mississippi",18060,68323
"Corinth, MS Micro Area; Mississippi",18420,34500
"Greenville, MS Micro Area; Mississippi",24740,43674
"Greenwood, MS Micro Area; Mississippi",24900,37260
"Grenada, MS Micro Area; Mississippi",24980,31050
"Gulfport-Biloxi, MS Metro Area; Mississippi",25060,418452
"Hattiesburg, MS Metro Area; Mississippi",25620,154567
"Jackson, MS Metro Area; Mississippi",27140,615908
"Laurel, MS Micro Area; Mississippi",29860,83050
"McComb, MS Micro Area; Mississippi",32620,53794
"Memphis, TN-MS-AR Metro Area (part); Mississippi",32820,267810
"Meridian, MS Micro Area; Mississippi",32940,87408
"Natchez, MS-LA Micro Area (part); Mississippi",35020,36225
"Oxford, MS Micro Area; Mississippi",37060,69359
"Picayune, MS Micro Area; Mississippi",38100,56781
"Starkville, MS Micro Area; Mississippi",44260,61415
"Tupelo, MS Micro Area; Mississippi",46180,132079
"Vicksburg, MS Micro Area; Mississippi",46980,43623
"Branson, MO Micro Area; Missouri",14700,56382
"Cape Girardeau, MO-IL Metro Area (part); Missouri",16020,92771
"Columbia, MO Metro Area; Missouri",17860,212850
"Farmington, MO Micro Area; Missouri",22100,66864
"Fort Leonard Wood, MO Micro Area; Missouri",22780,53850
"Hannibal, MO Micro Area; Missouri",25300,38887
"Jefferson City, MO Metro Area; Missouri",27620,150147
"Joplin, MO-KS Metro Area (part); Missouri",27900,183022
"Kansas City, MO-KS Metro Area (part); Missouri",28140,1293124
"Kennett, MO Micro Area; Missouri",28380,27795
"Kirksville, MO Micro Area; Missouri",28860,29268
